At which research institution are you a student or staff member?,Which of these terms best describe your career stage or role? (select one or more),How would you describe your MATLAB experience? (Using terms defined by The Carpentries),Please add any additional detail if you wish,"How would you describe your experience of software development and code in general?

Please consider any experience you have of MATLAB as well as other languages and tools outside of MATLAB.",Please add any additional detail if you wish,"Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Version control (e.g. git, subversion, mercurial, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Online code hosting (e.g. GitHub, GitLab, BitBucket)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Dependency and/or  environment management (e.g. conda, renv, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Continuous Integration/Deployment (e.g. automated testing, GitHub Actions, Travis, Jenkins etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Literate programming (e.g. jupyter notebooks, rmarkdown, live scripts, quarto)]",Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Documentation generation and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Data availability and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Software testing],Is there anything else you'd like to tell us following this question?,"Do you use git as a version control system with MATLAB? If so, which interface(s) do you use?",Is there anything else you'd like to tell us following this question?,Which of the following MATLAB tools and language features do you use?,"If you have indicated that you’re aware of a tool or reproducibility concept but that you don’t use it, please tell us what would make you more likely to use it.","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [MATLAB Projects (https://uk.mathworks.com/help/matlab/projects.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Version control (e.g. git)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Custom MATLAB Toolbox Development]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Publishing code (sharing code with a research publication)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Software Licensing]","In general, which training formats do you favour for learning coding/software development skills?","When you seek guidance in writing code, where do you turn to?",Is there anything else you’d like to share on the topic of MATLAB and reproducibility methods?
The University of Sheffield,Postdoctoral Researcher / Research Fellow,Novice,,Novice,,Not aware of,Aware of but don't use,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,,I don't use git with MATLAB,,"Functions, Custom toolbox development",,,,,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Mechanical Engineering,Postdoctoral Researcher / Research Fellow,Expert,,Expert,,Aware of and use with MATLAB,Aware of and use with MATLAB,Not aware of,Not aware of,Not aware of,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,"GitKraken Client, GitHub Desktop",,"Functions, Custom toolbox development",,Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),Already familiar with,Already familiar with,Already familiar with,Already familiar with,"In-person practical, Remote (online) practical, Video tutorials","Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield ,Undergraduate student,Novice,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,Aware of and use outside MATLAB,,I don't use git with MATLAB,,"Functions, Custom toolbox development",,Would like to learn (on my own),Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),,Would like to learn (in structured training),Would like to learn (in structured training),"Remote (online) practical, Video tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield ,Undergraduate student,Novice,,Novice,,Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Not aware of,Aware of and use outside MATLAB,Not aware of,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person practical, Remote (online) lecture, Video tutorials",Colleagues,
Materials Science and Engineering,Undergraduate student,Novice,,Novice,,Aware of but don't use,Aware of but don't use,,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,,I don't use git with MATLAB,,,,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, In-person practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
The University of Sheffield,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Not aware of,Aware of but don't use,Aware of and use outside MATLAB,Not aware of,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),"In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
University of Sheffield,Postdoctoral Researcher / Research Fellow,Competent Practitioner,,Expert,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,Not aware of,Aware of but don't use,,I don't use git with MATLAB,,Functions,,Not interested,Would like to learn (on my own),Not interested,Already familiar with,Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,"Remote (online) practical, Video tutorials","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
The University of Sheffield,Doctoral Student (PhD/EngD or similar),Novice,,Novice,,Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Not aware of,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,,"git's command line interface, MATLAB's source control tools",,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Not interested,Not interested,Would like to learn (in structured training),"Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Doctoral Student (PhD/EngD or similar),Novice,,Competent Practitioner,,Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Not aware of,,I don't use git with MATLAB,,Functions,,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person practical, Remote (online) practical","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
The university of sheffield ,Academic Researcher or Lecturer,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming",,Not interested,Not interested,Would like to learn (on my own),,,,,Remote (online) lecture,"Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
university of sheffield,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,GitHub Desktop,,Functions,,,,Would like to learn (on my own),Would like to learn (in structured training),,,,"In-person lecture, Remote (online) practical, Written tutorials, Video tutorials, Blogs",Online Q&A/Forums/Stack Overflow/MATLAB Central,
University of Sheffield,Undergraduate student,Novice,,Novice,,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,I don't use git with MATLAB,,"Functions, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Custom toolbox development",,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),In-person lecture,"Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
university of sheffield,Undergraduate student,Novice,,Novice,,"Aware of and use with MATLAB, Aware of but don't use",Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,"Aware of and use with MATLAB, Not aware of",,"I don't use git with MATLAB, MATLAB's source control tools, GitHub Desktop",,"Functions, MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html)",,Already familiar with,Already familiar with,Already familiar with,Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (in structured training),"In-person lecture, Remote (online) lecture","Colleagues, Institutional support (e.g. code clinics, RSE drop-in sessions)",
The University of Sheffield,Undergraduate student,Competent Practitioner,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,"Aware of and use outside MATLAB, Aware of but don't use",Aware of and use outside MATLAB,,I don't use git with MATLAB,,"Functions, Custom toolbox development",,Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),"Remote (online) lecture, Written tutorials, Video tutorials, Blogs","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Academic Researcher or Lecturer,Competent Practitioner,Have used Matlab for programming since PhD 20 years ago. It is my preferred language for getting something working quickly.,Competent Practitioner,I can program at a fairly basic level in C and Python.,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,I don't get much time for my own research these days so anything I produce is likely to be small in scale and used only by me. I do encourage students and post-docs to use proper version control e.g. GitHub,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming",,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Not interested,Would like to learn (on my own),Would like to learn (on my own),"Remote (online) lecture, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Sheffield ACSE,Doctoral Student (PhD/EngD or similar),Expert,,Expert,,Aware of and use with MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,Functions,,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Already familiar with,Already familiar with,Already familiar with,"In-person practical, Remote (online) practical, Video tutorials","Third-party online guidance, Colleagues",
University of Sheffield,Doctoral Student (PhD/EngD or similar),Novice,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,"Aware of and use with MATLAB, Aware of and use outside MATLAB","Aware of and use with MATLAB, Aware of and use outside MATLAB",Aware of and use outside MATLAB,,"git's command line interface, Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitHub Desktop",,Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html),,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Already familiar with,Not interested,Not interested,Not interested,"In-person practical, Video tutorials","Official documentation, Third-party online guidance, Colleagues",
University of Birmingham,"Doctoral Student (PhD/EngD or similar), Research Technician",Expert,25 years of Research MATLAB,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person lecture, Remote (online) practical, Blogs","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Mechanical Engineering ,Undergraduate student,Novice,,Novice,,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,Classes and Object-Oriented Programming,,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person practical, Video tutorials","Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Undergraduate student,Competent Practitioner,"I've used Matlab for some years now as part of my ACSE course, doing anything from developing mathematical models of car spring dampers systems, to using Simulink to simulate Grid Feeding and Forming inverters for a Hospital Microgrid and even facial recognition and machine learning applications.",Competent Practitioner,"I know matlab and C++ Inside out, however I wouldn't describe my general software development skills that highly, as for instance proper object orientated programming is a different kettle of fish to Matlab, Python and the likes",Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,"Aware of and use with MATLAB, Aware of but don't use",Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,,I don't use git with MATLAB,,"Functions, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (in structured training),Already familiar with,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Not interested,"In-person practical, Remote (online) practical, Written tutorials","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Postdoctoral Researcher / Research Fellow,Expert,,Expert,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,Not aware of,Not aware of,Aware of and use outside MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Already familiar with,Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) practical","Official documentation, Third-party online guidance",
University of Sheffield,Undergraduate student,Novice,,Novice,,Not aware of,Aware of but don't use,Not aware of,Not aware of,Aware of but don't use,Not aware of,Not aware of,Aware of and use outside MATLAB,,MATLAB's source control tools,,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Not interested,"In-person lecture, In-person practical, Video tutorials","Third-party online guidance, Colleagues",
Sheffield Student,"Postgraduate Masters student, Doctoral Student (PhD/EngD or similar)",Competent Practitioner,Start using MATLAB in 5 years,Competent Practitioner,Also using C++ and Lua,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Not interested,Not interested,Not interested,"Remote (online) practical, Video tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield ,Foundation year ,Novice,I’ve used it a couple times for labs ,Novice,,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,"Aware of and use with MATLAB, Aware of and use outside MATLAB",Not aware of,,I don't use git with MATLAB,,Functions,,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),"In-person practical, Remote (online) practical, Written tutorials","Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
The University of Sheffield ,Undergraduate student,Novice,Started using it last year of uni,Novice,,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,"Aware of but don't use, Not aware of",Not aware of,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),"In-person lecture, In-person practical, Written tutorials, Video tutorials","Official documentation, Colleagues",
University of Sheffield ,Undergraduate student,Novice,,Novice,,,,,,,,,,,I don't use git with MATLAB,,,,Already familiar with,,,,Already familiar with,,,In-person lecture,"Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Undergraduate student,Novice,,Competent Practitioner,,Aware of but don't use,Not aware of,Not aware of,Aware of but don't use,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Custom toolbox development",,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Already familiar with,Not interested,Would like to learn (in structured training),"In-person practical, Remote (online) practical, Video tutorials",Online Q&A/Forums/Stack Overflow/MATLAB Central,No
University of sheffield,Undergraduate student,Novice,,Novice,,Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Aware of but don't use,Not aware of,Aware of but don't use,Not aware of,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Not interested,"In-person practical, Remote (online) lecture, Remote (online) practical","Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Doctoral Student (PhD/EngD or similar),Novice,,Novice,,Not aware of,Aware of but don't use,Not aware of,Not aware of,Aware of and use outside MATLAB,Not aware of,Not aware of,Not aware of,,I don't use git with MATLAB,,"Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person lecture, In-person practical, Remote (online) practical, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Undergraduate student,Novice,,Novice,,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,,I don't use git with MATLAB,,Functions,,,,,,,,,"In-person practical, Written tutorials","Official documentation, Third-party online guidance, Colleagues",
The University of Sheffield ,Postgraduate Masters student,Novice,"The coding is very easy and intuitive. It is an absolute gem software for all the mechanical engineers. 
At the very beginning, I struggled a little bit it feels awesome after getting into the flow.
Being a mechanical dynamics enthusiast, it is impossible for me to spend a day without MATLAB. Thanks to my supervisor who helped me to learn this.",Novice,Not much with other languages. Just basic C/C++,Not aware of,Aware of but don't use,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,"Not really. I am not a software guy. So, I am unaware of hardcore coding. I just use MATLAB for my mechanical vibration control work",I don't use git with MATLAB,Not really.,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",N/A,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Not interested,"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance",Not really 
University of Sheffield,"Doctoral Student (PhD/EngD or similar), Research Technician",Competent Practitioner,Self taught and competent ,Competent Practitioner,,Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,Functions,,Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, In-person practical, Remote (online) lecture, Remote (online) practical","Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Postdoctoral Researcher / Research Fellow,Competent Practitioner,I use MATLAB for civil engineering applications.,Competent Practitioner,,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,Not aware of,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use with MATLAB,,GitKraken Client,,"Functions, Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",Meeting requirements of projects that I work on,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (in structured training),Not interested,Would like to learn (on my own),Would like to learn (in structured training),"In-person practical, Remote (online) practical, Video tutorials, Blogs","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
The University of Sheffield,Undergraduate student,Competent Practitioner,Frequent User of the program for both personal and academic use.,Competent Practitioner,"Experienced in Python and C/C++, as well as MATLAB",Aware of but don't use,Aware of and use outside MATLAB,Not aware of,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,,,Already familiar with,Already familiar with,Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),"In-person lecture, In-person practical","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
TUoS Department of Materials Science and Engineering,Postgraduate Masters student,Competent Practitioner,,Competent Practitioner,I hold a (currently suspended but not expired) CLD (LabVIEW certified developer) and have been writing custom code in VBA for Word and Excel for almost 9 years.,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,"Aware of but don't use, Not aware of",Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,I don't use git with MATLAB,,Functions,"I don't currently have a strong need to implement any of these tools for current use cases - nearly all coding I do for personal or work reasons is one-off projects that I maintain. Should this change, I'll happily look in to better management of codebase.",Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person practical, Written tutorials, not for expediency, but learning by failing into better code is the best way for me to remember what didn't work and how to fix it.","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Undergraduate student,Competent Practitioner,,Competent Practitioner,,Not aware of,Aware of but don't use,Aware of and use with MATLAB,Aware of but don't use,Not aware of,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,GitHub Desktop,,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",,Already familiar with,Would like to learn (in structured training),Already familiar with,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person practical, Remote (online) practical, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
Staff,Undergraduate Research Engineer,Novice,,Novice,,Not aware of,Not aware of,Not aware of,Not aware of,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,,"I don't use git with MATLAB, MATLAB's source control tools",,Functions,,Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (on my own),Already familiar with,"Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
The University of Sheffield,Doctoral Student (PhD/EngD or similar),Novice,,Novice,,Not aware of,Aware of but don't use,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,,I don't use git with MATLAB,,"Functions, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Not interested,Not interested,"In-person lecture, In-person practical, Remote (online) practical, Video tutorials","Official documentation, Colleagues",
Mechanical Engineering ,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Novice,,Aware of but don't use,Aware of but don't use,"Aware of but don't use, Not aware of",Not aware of,Not aware of,Not aware of,Not aware of,Not aware of,,I don't use git with MATLAB,,Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html),,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person practical, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield,Undergraduate student,Novice,,Competent Practitioner,,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,,I don't use git with MATLAB,,Functions,,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),"In-person lecture, Remote (online) lecture, Video tutorials","Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
